"adm_03","rowcacode3","year","total_precip","mean_precip","median_precip","sd_precip"
"Dakoussa","NER007008001",1998,357.092255844799,4.9596146645111,0.157629431746413,9.75028608394173
"Dakoussa","NER007008001",1999,400.85185494404,5.56738687422278,0.157759096250302,10.3300079738399
"Dakoussa","NER007008001",2000,282.599363270632,3.92499115653656,0.15826360567152,7.52316167972712
"Dakoussa","NER007008001",2001,425.859292667682,5.91471239816225,0.153812291787901,11.4666265947059
"Dakoussa","NER007008001",2002,353.392925866116,4.90823508147384,0.157166837133167,9.32917467361752
"Dakoussa","NER007008001",2003,435.941824294806,6.05474755965008,0.175692128330197,11.1698248028589
"Dakoussa","NER007008001",2004,319.087797909096,4.43177497095966,0.157181559728726,8.93919528320057
"Dakoussa","NER007008001",2005,372.588531883065,5.17484072059812,0.153798732756689,8.86537680056039
"Dakoussa","NER007008001",2006,330.192685415959,4.5860095196661,0.153798656876522,9.27103837576605
"Dakoussa","NER007008001",2007,269.697098481746,3.7457930344687,0.1550883978096,7.89372363001435
"Dakoussa","NER007008001",2008,401.954118794274,5.58269609436492,0.153862656147893,11.2064800474639
"Dakoussa","NER007008001",2009,239.351871296717,3.32433154578773,0.157512880361496,5.19627532664676
"Dakoussa","NER007008001",2010,380.240362450999,5.28111614515277,0.158492668816667,9.30156187684124
"Dakoussa","NER007008001",2011,336.143756747969,4.66866328816624,0.158492742949429,8.91832618428815
"Dakoussa","NER007008001",2012,438.606794848835,6.09176103956715,0.161838282590535,10.2753226669693
"Dakoussa","NER007008001",2013,324.003051791556,4.50004238599383,0.182309885773849,8.85867821645075
"Dakoussa","NER007008001",2014,296.682281908807,4.12058724873343,0.159052091440481,8.04179227754529
"Dakoussa","NER007008001",2015,317.396386005735,4.40828313896854,0.159211184869669,8.93094169656686
"Dakoussa","NER007008001",2016,270.710908143771,3.75987372421904,0.159555476375872,6.46264139460823
"Dakoussa","NER007008001",2017,291.736170243695,4.05189125338465,0.155818984708651,7.85250906653176
"Dakoussa","NER007008001",2018,387.87301951809,5.38712527108458,0.159246104744361,10.7594534002164
"Dakoussa","NER007008001",2019,412.214734371492,5.7252046440485,0.177406313926048,10.5399325441803
