"","cluster","hhnum_percluster","hhid","year","int_year","int_month","passage","season","admin1","admin2","hhsize","pcexp","pcexp_food","pcexp_nonfood","latitude","longitude","zae"
"102",9,6,9006,2018,2018,10,1,NA,1,12,4,613503.875,381056,232447.875,18.7334824,7.4047842,4
"103",9,7,9007,2018,2018,10,1,NA,1,12,9,206972.78125,98249.578125,108723.203125,18.7334824,7.4047842,4
"104",9,8,9008,2018,2018,10,1,NA,1,12,2,1191968,293643.3125,898324.6875,18.7334824,7.4047842,4
"105",9,9,9009,2018,2018,10,1,NA,1,12,4,376630.9375,208496.15625,168134.78125,18.7334824,7.4047842,4
"106",9,10,9010,2018,2018,10,1,NA,1,12,8,190048.0625,57855.9609375,132192.109375,18.7334824,7.4047842,4
"107",9,11,9011,2018,2018,10,1,NA,1,12,1,1017631.25,499969.875,517661.375,18.7334824,7.4047842,4
"108",9,12,9012,2018,2018,10,1,NA,1,12,8,152755.171875,116357.8828125,36397.29296875,18.7334824,7.4047842,4
"109",10,1,10001,2018,2019,6,1,NA,1,12,5,492000.46875,290526.875,201473.609375,18.7114795,7.339315,4
"110",10,2,10002,2018,2019,6,1,NA,1,12,6,322184.1875,210615.578125,111568.6015625,18.7114795,7.339315,4
"111",10,3,10003,2018,2019,6,1,NA,1,12,6,221694.65625,144082.25,77612.3984375,18.7114795,7.339315,4
"112",10,4,10004,2018,2019,6,1,NA,1,12,5,462069.46875,267650.75,194418.71875,18.7114795,7.339315,4
"113",10,5,10005,2018,2019,6,1,NA,1,12,6,415515,219363.65625,196151.34375,18.7114795,7.339315,4
"114",10,6,10006,2018,2019,6,1,NA,1,12,9,190406.5,120595.4609375,69811.0390625,18.7114795,7.339315,4
"115",10,7,10007,2018,2019,6,1,NA,1,12,9,239777.75,143240.078125,96537.6796875,18.7114795,7.339315,4
"116",10,8,10008,2018,2019,6,1,NA,1,12,5,154275.25,99085.8203125,55189.43359375,18.7114795,7.339315,4
"117",10,9,10009,2018,2019,6,1,NA,1,12,4,462844.84375,241128.734375,221716.109375,18.7114795,7.339315,4
"118",10,10,10010,2018,2019,6,1,NA,1,12,7,236216.109375,131452.953125,104763.1484375,18.7114795,7.339315,4
"119",10,11,10011,2018,2019,6,1,NA,1,12,9,261801.78125,147652.90625,114148.8828125,18.7114795,7.339315,4
"120",10,12,10012,2018,2019,6,1,NA,1,12,4,280146.4375,160888.34375,119258.09375,18.7114795,7.339315,4
"121",10,4,10040,2011,2011,8,1,1,1,NA,7,110874.4921875,123047.2421875,2183.47265625,15.5215096057,7.03498515587,4
"122",10,4,10040,2011,2011,11,2,2,1,NA,7,71570.2578125,76759.8203125,4077.48217773438,15.5215096057,7.03498515587,4
"123",10,4,10040,2014,2014,10,1,2,1,NA,4,213407.265625,234942.640625,6096.98388671875,15.5215096057,7.03498515587,4
"124",10,4,10040,2014,2015,2,2,3,1,NA,4,336024.5625,341650.96875,37882.6328125,15.5215096057,7.03498515587,4
"125",10,6,10060,2011,2011,8,1,1,1,NA,8,148216.515625,163431.96875,3975.87670898438,15.5215096057,7.03498515587,4
