"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Maradi","NE04","Madarounfa","NE0406",2000,0.3941,0.199599231431061,0.0693737208164605,0.367723269260371,0.0429411680255715,0.614252754464469
"Maradi","NE04","Ville de Maradi","NE0407",2000,0.4294,0.204042458100559,0.074864867891161,0.389927586206897,0.0724374158278901,0.544917475892419
"Maradi","NE04","Mayahi","NE0408",2000,0.326219158878505,0.179439877243924,0.0440755378954758,0.296795093238622,0.0924649457520249,0.318218600579653
"Maradi","NE04","Tessaoua","NE0409",2000,0.341166666666667,0.181408012075437,0.0458680971426034,0.294153497242936,0.0446312953743624,1.05336780009161
"Tahoua","NE05","Abalak","NE0501",2000,0.299455555555556,0.159415941774746,0.0348960896002119,0.265841258854455,0.0552149208593061,0.608790091119643
"Tahoua","NE05","Bagaroua","NE0502",2000,0.263752390438247,0.144152036305336,0.0360253607254083,0.250426813524331,0.0729506461301523,0.182665646170445
"Tahoua","NE05","Birni N'Konni","NE0503",2000,0.3598,0.171694644522201,0.0571784093980561,0.314315033173622,0.0411304314098121,1.10587137716059
"Tahoua","NE05","Bouza","NE0504",2000,0.334463298662704,0.173211235498208,0.0489280213820574,0.301488205022906,0.0474406881234677,0.695080424507722
"Tahoua","NE05","Illéla","NE0505",2000,0.333544638949672,0.161798585338301,0.0500607043573631,0.301977535214195,0.0655528472066141,0.481551985621336
"Tahoua","NE05","Keita","NE0506",2000,0.32784755887421,0.155764954653177,0.0481930870437441,0.284408391396136,0.0639208530986418,0.679577405061215
"Tahoua","NE05","Madaoua","NE0507",2000,0.344303846153846,0.181768601191508,0.054094065721682,0.301857876931498,0.0367890610478073,1.15376603842075
"Tahoua","NE05","Malbaza","NE0508",2000,0.341479192546584,0.17136757025421,0.0552681911790277,0.326404903912219,0.0507048750251449,0.297294661053587
"Tahoua","NE05","Tahoua","NE0509",2000,0.260136538461539,0.152121329914473,0.0359775304180488,0.24089490317064,0.0697837648559545,0.275732261373649
"Tahoua","NE05","Tassara","NE0510",2000,0.186928253358925,0.14161739792789,0.0215777670550314,0.200544128212072,0.12008428289193,-0.113385986285985
"Tahoua","NE05","Tchintabaraden","NE0511",2000,0.279197848410758,0.156081703930103,0.0350895961528786,0.247110925785725,0.0828363828875001,0.387353014539643
"Tahoua","NE05","Tillia","NE0512",2000,0.308043192713327,0.155265529115936,0.0362516619719624,0.255011213244035,0.143274717586131,0.370141922893073
"Tahoua","NE05","Ville de Tahoua","NE0513",2000,0.3146,0.162934679665738,0.0442558347867988,0.282446551724138,0.124477655719406,0.258306987627895
"Tillabéri","NE06","Abala","NE0601",2000,0.261077184223665,0.150800139704129,0.0327835837693821,0.240874079377126,0.10173224067664,0.198590974819436
"Tillabéri","NE06","Ayerou","NE0602",2000,0.290009417040359,0.152542232836148,0.0369952796123647,0.210352751051913,0.0338937015411937,2.3501908132292
"Tillabéri","NE06","Balleyara","NE0603",2000,0.303,0.168929043735201,0.0389301281676955,0.290635390895119,0.0391794782088379,0.31558891721259
"Tillabéri","NE06","Banibangou","NE0604",2000,0.255218005540166,0.146412081678129,0.034258801823718,0.207182052970777,0.0345021391846982,1.3922601237054
